Tissue,Gene,Degree,E_corr,SBM-Level-1,SBM-Level-2,SBM-Level-3,SBM-Level-4,SBM-Level-5,WGCNA
body,FBgn0052350,10,0.275825097,0,0,6,0,0,0
body,FBgn0024733,1599,0.366071484,1,1,7,1,1,2
body,FBgn0040372,1016,0.319062049,2,2,5,0,0,3
body,FBgn0023536,4,0.26542883,3,3,2,0,0,0
body,FBgn0023537,344,0.292929895,4,4,1,4,1,1
body,FBgn0029525,2,0.259128194,9,8,4,1,1,0
body,FBgn0040373,2,0.25636279,8,7,2,0,0,0
body,FBgn0025640,202,0.280275435,7,6,3,1,1,1
body,FBgn0025635,99,0.279698855,0,0,6,0,0,0
body,FBgn0001341,1,0.297797432,8,7,2,0,0,0
body,FBgn0003575,41,0.278803866,0,0,6,0,0,0
body,FBgn0025634,4,0.263539072,9,8,4,1,1,0
body,FBgn0025638,162,0.291532102,10,5,4,1,1,1
body,FBgn0040383,226,0.290604855,11,9,3,1,1,1
body,FBgn0040382,8,0.277312004,12,8,4,1,1,0
body,FBgn0025621,30,0.284365462,13,0,6,0,0,0
body,FBgn0015799,1092,0.323841614,2,2,5,0,0,3
body,FBgn0015288,493,0.318298616,14,10,4,1,1,1
body,FBgn0025639,901,0.313188008,15,2,5,0,0,3
body,FBgn0002579,1034,0.360123823,16,1,7,1,1,2
body,FBgn0026879,678,0.331514471,17,1,7,1,1,2
body,FBgn0029529,337,0.303502148,18,10,4,1,1,1
body,FBgn0025633,1399,0.332670059,19,11,0,0,0,3
body,FBgn0040339,4,0.280600002,8,7,2,0,0,0
body,FBgn0040349,265,0.295173322,20,6,3,1,1,1
body,FBgn0040346,4,0.285048644,9,8,4,1,1,0
body,FBgn0040364,982,0.332797729,21,12,1,4,1,6
body,FBgn0029568,380,0.319144747,22,13,4,1,1,5
body,FBgn0004650,144,0.291626341,13,0,6,0,0,0
body,FBgn0024362,9,0.284499016,0,0,6,0,0,0
body,FBgn0024364,28,0.27549398,3,3,2,0,0,0
body,FBgn0024987,617,0.302118058,23,2,5,0,0,3
body,FBgn0024985,6,0.273996338,3,3,2,0,0,0
body,FBgn0027794,5,0.273140099,33,16,3,1,1,0
body,FBgn0024986,249,0.3048658,24,9,3,1,1,1
body,FBgn0000826,126,0.289369141,25,7,2,0,0,0
body,FBgn0024365,5,0.285643501,8,7,2,0,0,0
body,FBgn0024360,4,0.284195618,8,7,2,0,0,0
body,FBgn0025641,520,0.301664544,26,0,6,0,0,3
body,FBgn0028550,161,0.286099751,24,9,3,1,1,1
body,FBgn0026876,405,0.294672143,27,0,6,0,0,0
body,FBgn0040366,9,0.274792435,8,7,2,0,0,0
body,FBgn0025394,14,0.269832403,6,20,2,0,0,0
body,FBgn0001189,1,0.275643517,8,7,2,0,0,0
body,FBgn0025390,357,0.308966092,22,13,4,1,1,1
body,FBgn0003517,2324,0.389254747,28,14,9,1,1,2
body,FBgn0025382,5,0.2674093,3,3,2,0,0,0
body,FBgn0027791,5,0.267286883,8,7,2,0,0,0
body,FBgn0026873,69,0.278033998,29,5,4,1,1,5
body,FBgn0023513,25,0.272179705,13,0,6,0,0,0
body,FBgn0014411,24,0.273273648,8,7,2,0,0,0
body,FBgn0023514,32,0.277695541,3,3,2,0,0,0
body,FBgn0029594,11,0.280102923,5,5,4,1,1,0
body,FBgn0023519,2,0.28272067,5,5,4,1,1,0
body,FBgn0023508,168,0.292124818,13,0,6,0,0,0
body,FBgn0023522,4,0.278998585,12,8,4,1,1,0
body,FBgn0023521,4,0.275230673,9,8,4,1,1,0
body,FBgn0025630,7,0.270080902,8,7,2,0,0,0
body,FBgn0025628,1,0.265814728,8,7,2,0,0,0
body,FBgn0025626,624,0.305271109,30,15,6,0,0,3
body,FBgn0000667,5,0.268864461,12,8,4,1,1,0
body,FBgn0023545,1,0.308281579,12,8,4,1,1,0
body,FBgn0023520,1,0.262031278,9,8,4,1,1,0
body,FBgn0023511,4,0.260151157,8,7,2,0,0,0
body,FBgn0023518,568,0.299686455,31,11,0,0,0,3
body,FBgn0026088,544,0.308060875,18,10,4,1,1,2
body,FBgn0026089,243,0.319506436,32,5,4,1,1,2
body,FBgn0023517,47,0.270361387,29,5,4,1,1,0
body,FBgn0023516,1,0.258748196,9,8,4,1,1,0
body,FBgn0023515,1891,0.361812469,34,17,2,0,0,3
body,FBgn0028969,43,0.280031058,33,16,3,1,1,0
body,FBgn0026090,2,0.257890252,5,5,4,1,1,0
body,FBgn0040395,1,0.255902544,9,8,4,1,1,0
body,FBgn0000382,56,0.274843286,3,3,2,0,0,0
body,FBgn0023507,724,0.31021662,35,18,1,4,1,1
body,FBgn0004654,25,0.266820124,7,6,3,1,1,0
body,FBgn0023540,59,0.276686152,0,0,6,0,0,0
body,FBgn0025839,1184,0.340093183,36,14,9,1,1,2
body,FBgn0040899,136,0.321218757,10,5,4,1,1,1
body,FBgn0024984,11,0.269789143,3,3,2,0,0,0
body,FBgn0023549,4,0.276813602,33,16,3,1,1,0
body,FBgn0000810,1,0.254731083,9,8,4,1,1,0
body,FBgn0023527,19,0.268084442,8,7,2,0,0,0
body,FBgn0003079,243,0.289555703,27,0,6,0,0,0
body,FBgn0003159,43,0.273928471,3,3,2,0,0,0
body,FBgn0040389,72,0.279778751,29,5,4,1,1,5
body,FBgn0023526,1148,0.335910889,37,15,6,0,0,3
body,FBgn0023529,5,0.269920901,7,6,3,1,1,0
body,FBgn0023528,1579,0.346561634,38,17,2,0,0,3
body,FBgn0027296,51,0.277259597,0,0,6,0,0,0
body,FBgn0000377,1,0.255193688,9,8,4,1,1,0
body,FBgn0004397,12,0.26956389,33,16,3,1,1,0
body,FBgn0023542,4,0.258927181,5,5,4,1,1,0
body,FBgn0004655,1167,0.327933919,39,11,0,0,0,3
body,FBgn0013432,1,0.256601173,8,7,2,0,0,0
body,FBgn0040066,70,0.291434103,6,20,2,0,0,0
body,FBgn0001404,521,0.319923626,40,20,2,0,0,4
body,FBgn0040336,1,0.287560324,9,8,4,1,1,0
body,FBgn0029629,277,0.338068047,14,10,4,1,1,2
body,FBgn0011606,353,0.292681811,25,7,2,0,0,0
body,FBgn0040388,311,0.286560926,27,0,6,0,0,4
body,FBgn0003714,271,0.296654102,32,5,4,1,1,1
body,FBgn0003371,438,0.297708893,27,0,6,0,0,4
body,FBgn0024993,110,0.279018476,0,0,6,0,0,0
body,FBgn0024996,5,0.267522434,5,5,4,1,1,0
body,FBgn0024991,812,0.307596595,15,2,5,0,0,3
body,FBgn0000927,650,0.306221003,41,11,0,0,0,4
body,FBgn0000520,41,0.273438466,0,0,6,0,0,0
body,FBgn0000376,508,0.297351322,31,11,0,0,0,4
body,FBgn0024973,9,0.274071778,5,5,4,1,1,0
body,FBgn0024998,45,0.269490517,8,7,2,0,0,0
body,FBgn0024994,2,0.274063342,8,7,2,0,0,0
body,FBgn0024992,13,0.278246731,8,7,2,0,0,0
body,FBgn0004647,624,0.308753949,30,15,6,0,0,3
body,FBgn0040396,168,0.294605623,10,5,4,1,1,1
body,FBgn0000479,8,0.269752577,12,8,4,1,1,0
body,FBgn0000644,406,0.307247579,22,13,4,1,1,1
body,FBgn0028369,341,0.315917648,42,13,4,1,1,0
body,FBgn0023215,663,0.331263585,40,20,2,0,0,4
body,FBgn0015286,580,0.306851504,30,15,6,0,0,3
body,FBgn0023216,131,0.280256994,25,7,2,0,0,0
body,FBgn0028491,888,0.336119716,43,4,1,4,1,6
body,FBgn0028665,120,0.285619191,24,9,3,1,1,5
body,FBgn0029686,77,0.278981538,3,3,2,0,0,0
body,FBgn0029687,48,0.293748981,12,8,4,1,1,0
body,FBgn0029689,1,0.262459266,9,8,4,1,1,0
body,FBgn0029688,4,0.278399677,8,7,2,0,0,0
body,FBgn0029685,466,0.297064996,31,11,0,0,0,4
body,FBgn0000221,1,0.270988355,8,7,2,0,0,0
body,FBgn0026084,9,0.30060873,12,8,4,1,1,0
body,FBgn0026083,757,0.309665291,23,2,5,0,0,3
body,FBgn0066114,45,0.276191982,0,0,6,0,0,0
body,FBgn0029697,130,0.328816587,22,13,4,1,1,5
body,FBgn0040907,162,0.298628603,10,5,4,1,1,1
body,FBgn0041252,111,0.332356828,22,13,4,1,1,1
body,FBgn0029696,76,0.338663353,22,13,4,1,1,1
body,FBgn0000635,437,0.3045549,44,16,3,1,1,1
body,FBgn0026079,7,0.264619327,29,5,4,1,1,0
body,FBgn0004832,3,0.26163371,9,8,4,1,1,0
body,FBgn0022768,977,0.317713749,2,2,5,0,0,3
body,FBgn0052773,3,0.25908466,33,16,3,1,1,0
body,FBgn0011760,18,0.283277029,12,8,4,1,1,0
body,FBgn0028325,149,0.287858631,33,16,3,1,1,1
body,FBgn0029733,713,0.305642434,41,11,0,0,0,4
body,FBgn0052772,368,0.287841578,27,0,6,0,0,4
body,FBgn0029737,1,0.267684031,8,7,2,0,0,0
body,FBgn0004368,684,0.312977761,45,15,6,0,0,3
body,FBgn0003449,170,0.293191404,5,5,4,1,1,0
body,FBgn0011761,1338,0.332432876,19,11,0,0,0,3
body,FBgn0029755,1,0.260516009,12,8,4,1,1,0
body,FBgn0052767,1195,0.333525374,37,15,6,0,0,3
body,FBgn0026751,25,0.270168694,8,7,2,0,0,0
body,FBgn0029763,262,0.301663878,46,3,2,0,0,0
body,FBgn0029765,229,0.298224507,47,9,3,1,1,1
body,FBgn0029766,375,0.328386583,48,9,3,1,1,1
body,FBgn0026702,8,0.272456222,13,0,6,0,0,0
body,FBgn0004687,837,0.315037663,49,16,3,1,1,1
body,FBgn0029778,5,0.270506238,8,7,2,0,0,0
body,FBgn0029769,462,0.299271168,4,4,1,4,1,1
body,FBgn0029762,467,0.297837667,4,4,1,4,1,1
body,FBgn0029756,93,0.275524118,0,0,6,0,0,0
body,FBgn0028474,6,0.275312429,8,7,2,0,0,0
body,FBgn0029785,1391,0.362402076,50,1,7,1,1,2
body,FBgn0000394,2,0.2596026,8,7,2,0,0,0
body,FBgn0029798,246,0.285730742,13,0,6,0,0,0
body,FBgn0029801,2,0.258839852,3,3,2,0,0,0
body,FBgn0029821,239,0.294215467,35,18,1,4,1,1
body,FBgn0029822,459,0.304281489,26,0,6,0,0,4
body,FBgn0029823,901,0.313947602,51,18,1,4,1,7
body,FBgn0029819,82,0.274007848,3,3,2,0,0,0
body,FBgn0014340,39,0.273702701,0,0,6,0,0,0
body,FBgn0029818,4,0.268221377,8,7,2,0,0,0
body,FBgn0013987,8,0.279686789,3,3,2,0,0,0
body,FBgn0029800,20,0.266308331,8,7,2,0,0,0
body,FBgn0261383,472,0.300262694,26,0,6,0,0,3
body,FBgn0052758,19,0.279465973,3,3,2,0,0,0
body,FBgn0046687,10,0.270488143,8,7,2,0,0,0
body,FBgn0015794,59,0.27379863,7,6,3,1,1,5
body,FBgn0029824,2,0.269134393,8,7,2,0,0,0
body,FBgn0029825,98,0.277383361,3,3,2,0,0,0
body,FBgn0052756,197,0.287598347,27,0,6,0,0,0
body,FBgn0029828,847,0.317599828,52,6,3,1,1,2
body,FBgn0029833,87,0.288243407,10,5,4,1,1,5
body,FBgn0003514,167,0.28704462,33,16,3,1,1,1
body,FBgn0029838,978,0.317349381,51,18,1,4,1,2
body,FBgn0005390,5,0.266266634,3,3,2,0,0,0
body,FBgn0015818,254,0.286181295,0,0,6,0,0,0
body,FBgn0028982,440,0.297734579,26,0,6,0,0,4
body,FBgn0029857,7,0.267216256,9,8,4,1,1,0
body,FBgn0029861,236,0.283634319,13,0,6,0,0,0
body,FBgn0029866,1,0.259243845,8,7,2,0,0,0
body,FBgn0029873,14,0.271029434,8,7,2,0,0,0
body,FBgn0014031,1067,0.323474608,53,19,1,4,1,2
body,FBgn0000524,1290,0.335959339,54,2,5,0,0,3
body,FBgn0014026,1759,0.371881147,55,1,7,1,1,2
body,FBgn0003655,780,0.307028335,15,2,5,0,0,3
body,FBgn0029868,1483,0.344187894,36,14,9,1,1,2
body,FBgn0043796,340,0.293688779,27,0,6,0,0,0
body,FBgn0028685,3,0.271832531,5,5,4,1,1,0
body,FBgn0031277,254,0.293436933,22,13,4,1,1,1
body,FBgn0015621,22,0.266698456,8,7,2,0,0,0
body,FBgn0010583,279,0.290253093,13,0,6,0,0,0
body,FBgn0020545,1,0.268439305,9,8,4,1,1,0
body,FBgn0029095,58,0.275102753,33,16,3,1,1,5
body,FBgn0020304,63,0.276911973,0,0,6,0,0,0
body,FBgn0031284,16,0.270475644,0,0,6,0,0,0
body,FBgn0004611,42,0.276978996,13,0,6,0,0,0
body,FBgn0002593,2178,0.380898945,28,14,9,1,1,2
body,FBgn0027592,57,0.277753398,8,7,2,0,0,0
body,FBgn0003963,4,0.272280581,33,16,3,1,1,0
body,FBgn0031263,430,0.305139835,18,10,4,1,1,2
body,FBgn0031266,3,0.260674932,8,7,2,0,0,0
body,FBgn0031268,17,0.266759931,8,7,2,0,0,0
body,FBgn0031267,230,0.286378443,25,7,2,0,0,0
body,FBgn0031260,99,0.291967082,42,13,4,1,1,5
body,FBgn0010602,25,0.281660942,8,7,2,0,0,0
body,FBgn0015924,19,0.266773313,3,3,2,0,0,0
body,FBgn0031252,45,0.282225327,8,7,2,0,0,0
body,FBgn0031213,1,0.26228933,12,8,4,1,1,0
body,FBgn0031216,6,0.285996408,8,7,2,0,0,0
body,FBgn0031228,762,0.319083094,17,1,7,1,1,2
body,FBgn0031231,56,0.278415538,10,5,4,1,1,0
body,FBgn0031233,3,0.272683787,8,7,2,0,0,0
body,FBgn0031247,1,0.259519205,8,7,2,0,0,0
body,FBgn0020622,507,0.307177445,30,15,6,0,0,4
body,FBgn0017457,184,0.283589804,0,0,6,0,0,0
body,FBgn0031245,901,0.316075475,56,19,1,4,1,2
body,FBgn0031238,2,0.271982799,8,7,2,0,0,0
body,FBgn0002121,48,0.274867181,8,7,2,0,0,0
body,FBgn0036974,10,0.264920987,5,5,4,1,1,0
body,FBgn0036975,402,0.293958254,11,9,3,1,1,1
body,FBgn0024887,2,0.266903581,8,7,2,0,0,0
body,FBgn0036980,701,0.304255213,23,2,5,0,0,3
body,FBgn0036998,4,0.279473779,8,7,2,0,0,0
body,FBgn0036999,12,0.272400625,8,7,2,0,0,0
body,FBgn0037001,1413,0.336264338,57,14,9,1,1,2
body,FBgn0052425,247,0.287363877,33,16,3,1,1,1
