Tissue,Module,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,Count
body,1,GO:0044281,small molecule metabolic process,119/621,418/4443,2.2788254431631615e-16,4.496122599360918e-13,4.389737432619564e-13,119
body,1,GO:0006082,organic acid metabolic process,70/621,220/4443,2.571674333680229e-12,2.536956730175546e-9,2.4769284371762206e-9,70
body,1,GO:0019752,carboxylic acid metabolic process,67/621,215/4443,2.3009730760208218e-11,1.4345024705095206e-8,1.4005599386626952e-8,67
body,1,GO:0043436,oxoacid metabolic process,67/621,216/4443,2.9082665392995857e-11,1.4345024705095206e-8,1.4005599386626952e-8,67
body,1,GO:1901605,alpha-amino acid metabolic process,21/621,53/4443,3.198333420792829e-6,0.0012302845453188915,0.0012011741232606354,21
body,1,GO:0044282,small molecule catabolic process,31/621,97/4443,3.741362023270831e-6,0.0012302845453188915,0.0012011741232606354,31
body,1,GO:0032787,monocarboxylic acid metabolic process,34/621,114/4443,7.16636360903063e-6,0.0020198907715167757,0.0019720970533121883,34
body,1,GO:0016053,organic acid biosynthetic process,24/621,71/4443,1.6420920235897238e-5,0.0032398475625425253,0.003163187792809678,24
body,1,GO:0016054,organic acid catabolic process,24/621,71/4443,1.6420920235897238e-5,0.0032398475625425253,0.003163187792809678,24
body,1,GO:0046394,carboxylic acid biosynthetic process,24/621,71/4443,1.6420920235897238e-5,0.0032398475625425253,0.003163187792809678,24
body,1,GO:0044283,small molecule biosynthetic process,33/621,115/4443,2.3916201236821128e-5,0.004289696821840735,0.004188196006065327,33
body,1,GO:0046395,carboxylic acid catabolic process,23/621,70/4443,4.1290183939143715e-5,0.006788794409327546,0.0066281611060204386,23
body,1,GO:0055086,nucleobase-containing small molecule metabolic process,36/621,137/4443,8.191654865469011e-5,0.012432411576592585,0.012138241622516834,36
body,1,GO:0006520,cellular amino acid metabolic process,25/621,84/4443,1.2215150229080777e-4,0.016607742269533113,0.01621477757795801,25
body,1,GO:1901615,organic hydroxy compound metabolic process,26/621,89/4443,1.2626261228737795e-4,0.016607742269533113,0.01621477757795801,26
body,1,GO:0006631,fatty acid metabolic process,25/621,85/4443,1.5073698852518643e-4,0.018587754897512052,0.018147940065861262,25
body,1,GO:0006637,acyl-CoA metabolic process,11/621,25/4443,2.514328042075674e-4,0.027559829038973915,0.026907721152037916,11
body,1,GO:0035383,thioester metabolic process,11/621,25/4443,2.514328042075674e-4,0.027559829038973915,0.026907721152037916,11
body,1,GO:0009112,nucleobase metabolic process,8/621,15/4443,3.618224537600797e-4,0.037572405329928275,0.03668338450863966,8
body,1,GO:0008652,cellular amino acid biosynthetic process,12/621,30/4443,3.8785209277079365e-4,0.0382616089518388,0.0373562805142396,12
body,2,GO:0002181,cytoplasmic translation,78/345,111/4443,9.63391772998505e-64,1.2755307074500207e-60,1.2371978558507119e-60,78
body,2,GO:0006412,translation,88/345,334/4443,1.4352923812973508e-27,9.501635564188462e-25,9.216087922014568e-25,88
body,2,GO:0046034,ATP metabolic process,42/345,79/4443,7.640062892900591e-27,3.3718144234001275e-24,3.2704830629258672e-24,42
body,2,GO:0043043,peptide biosynthetic process,88/345,361/4443,6.751079533333733e-25,2.234607325533466e-22,2.167451850175567e-22,88
body,2,GO:0043604,amide biosynthetic process,91/345,385/4443,9.790308136526523e-25,2.592473594552223e-22,2.514563352960497e-22,91
body,2,GO:0006518,peptide metabolic process,94/345,413/4443,2.7802294786527385e-24,6.135039716227043e-22,5.950666603432178e-22,94
body,2,GO:0022900,electron transport chain,31/345,47/4443,5.207649665959581e-24,9.849897368186407e-22,9.553883597700286e-22,31
body,2,GO:0006119,oxidative phosphorylation,32/345,51/4443,9.664153467285505e-24,1.5994173988357512e-21,1.5513509513274102e-21,32
body,2,GO:0043603,cellular amide metabolic process,98/345,459/4443,4.126057838839849e-23,6.0698895318044e-21,5.887474343139902e-21,98
body,2,GO:0045333,cellular respiration,37/345,74/4443,1.7247943418043124e-22,2.2635098568423488e-20,2.195485788955053e-20,37
body,2,GO:0009060,aerobic respiration,35/345,66/4443,1.9441872494993614e-22,2.2635098568423488e-20,2.195485788955053e-20,35
body,2,GO:0022904,respiratory electron transport chain,28/345,41/4443,2.0515195077120988e-22,2.2635098568423488e-20,2.195485788955053e-20,28
body,2,GO:0042773,ATP synthesis coupled electron transport,26/345,37/4443,2.204738205425152e-21,2.245441064602232e-19,2.177960008598126e-19,26
body,2,GO:0034645,cellular macromolecule biosynthetic process,90/345,423/4443,5.676369636887328e-21,5.368223856599159e-19,5.206895456392888e-19,90
body,2,GO:0019646,aerobic electron transport chain,24/345,32/4443,6.390867400163912e-21,5.641005625211346e-19,5.4714794583859455e-19,24
body,2,GO:0042775,mitochondrial ATP synthesis coupled electron transport,25/345,36/4443,2.13654134336127e-20,1.767987961631451e-18,1.7148555519083878e-18,25
body,2,GO:0015980,energy derivation by oxidation of organic compounds,40/345,99/4443,5.948686090328502e-20,4.6329766962323155e-18,4.493744291145989e-18,40
body,2,GO:0006091,generation of precursor metabolites and energy,46/345,132/4443,1.0322746488492908e-19,7.592953528202562e-18,7.364766500562193e-18,46
body,2,GO:0010257,"NADH dehydrogenase complex assembly",17/345,25/4443,5.671767443235946e-14,3.7547100474221965e-12,3.641871726709397e-12,17
body,2,GO:0032981,mitochondrial respiratory chain complex I assembly,17/345,25/4443,5.671767443235946e-14,3.7547100474221965e-12,3.641871726709397e-12,17
body,2,GO:0015986,proton motive force-driven ATP synthesis,13/345,15/4443,2.745584694908993e-13,1.7310257790759555e-11,1.6790041743303114e-11,13
body,2,GO:0006754,ATP biosynthetic process,13/345,17/4443,5.387652354085428e-12,3.011700021850916e-10,2.9211909895516914e-10,13
body,2,GO:0009145,purine nucleoside triphosphate biosynthetic process,14/345,20/4443,5.686744754250219e-12,3.011700021850916e-10,2.9211909895516914e-10,14
body,2,GO:0009205,purine ribonucleoside triphosphate metabolic process,14/345,20/4443,5.686744754250219e-12,3.011700021850916e-10,2.9211909895516914e-10,14
body,2,GO:0009206,purine ribonucleoside triphosphate biosynthetic process,14/345,20/4443,5.686744754250219e-12,3.011700021850916e-10,2.9211909895516914e-10,14
body,2,GO:0009144,purine nucleoside triphosphate metabolic process,14/345,21/4443,1.5871184025690867e-11,8.082095250005657e-10,7.839208304187393e-10,14
body,2,GO:0009199,ribonucleoside triphosphate metabolic process,14/345,22/4443,4.0604205346607396e-11,1.9199988528181498e-9,1.8622981399571815e-9,14
body,2,GO:0009201,ribonucleoside triphosphate biosynthetic process,14/345,22/4443,4.0604205346607396e-11,1.9199988528181498e-9,1.8622981399571815e-9,14
body,2,GO:0009142,nucleoside triphosphate biosynthetic process,14/345,24/4443,2.1554600214245118e-10,9.840789890917426e-9,9.545049822642122e-9,14
body,2,GO:0042255,ribosome assembly,16/345,32/4443,2.376602278960324e-10,1.0488738057811562e-8,1.0173525545023141e-8,16
body,2,GO:1902600,proton transmembrane transport,15/345,28/4443,2.471868424402433e-10,1.055727030293168e-8,1.0239998226726549e-8,15
body,2,GO:0033108,mitochondrial respiratory chain complex assembly,18/345,42/4443,4.3032242930787134e-10,1.7804590512613177e-8,1.7269518544592207e-8,18
body,2,GO:0009141,nucleoside triphosphate metabolic process,14/345,26/4443,9.186957570287621e-10,3.685918734260852e-8,3.575147762599967e-8,14
body,2,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",10/345,14/4443,5.3153034868614105e-9,2.0698417107660315e-7,2.007637849526601e-7,10
body,2,GO:0007005,mitochondrion organization,30/345,130/4443,2.9580522693037426e-8,1.1189889155880443e-6,1.0853605318949073e-6,30
body,2,GO:0000028,ribosomal small subunit assembly,9/345,13/4443,5.021244787451461e-8,1.8467022496071484e-6,1.7912042809037377e-6,9
