"","Name","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","0-0-0-0-0","GO:0007411","axon guidance","19/102","205/4489",1.0407355314156e-07,8.1595391058378e-05,7.19525178418782e-05,"bsk/beat-Ia/tup/Lim3/drl/Moe/fra/Galphaq/Pka-R2/Dscam1/zfh1/dac/stan/robo1/sli/Sema2b/mew/NetB/robo3",19
"2","0-0-0-0-0","GO:0097485","neuron projection guidance","19/102","212/4489",1.78376477938357e-07,8.1595391058378e-05,7.19525178418782e-05,"bsk/beat-Ia/tup/Lim3/drl/Moe/fra/Galphaq/Pka-R2/Dscam1/zfh1/dac/stan/robo1/sli/Sema2b/mew/NetB/robo3",19
"3","0-0-0-0-0","GO:0006935","chemotaxis","19/102","217/4489",2.58451843087804e-07,8.1595391058378e-05,7.19525178418782e-05,"bsk/beat-Ia/tup/Lim3/drl/Moe/fra/Galphaq/Pka-R2/Dscam1/zfh1/dac/stan/robo1/sli/Sema2b/mew/NetB/robo3",19
"4","0-0-0-0-0","GO:0008038","neuron recognition","13/102","100/4489",2.75050430507561e-07,8.1595391058378e-05,7.19525178418782e-05,"beat-Ia/drl/fra/Galphaq/Dscam1/zfh1/stan/robo1/sli/Sema2b/mew/NetB/robo3",13
"5","0-0-0-0-0","GO:0030030","cell projection organization","27/102","419/4489",3.26375530610568e-07,8.1595391058378e-05,7.19525178418782e-05,"mtm/Pvr/bsk/beat-Ia/tup/Lim3/drl/Cad99C/Moe/fra/Galphaq/Pka-R2/Dscam1/zfh1/bnl/dac/stan/l(2)41Ab/robo1/sick/sli/Sema2b/ds/msn/mew/NetB/robo3",27
"6","0-0-0-0-0","GO:0008037","cell recognition","13/102","103/4489",3.91344801239223e-07,8.1595391058378e-05,7.19525178418782e-05,"beat-Ia/drl/fra/Galphaq/Dscam1/zfh1/stan/robo1/sli/Sema2b/mew/NetB/robo3",13
"7","0-0-0-0-0","GO:0007409","axonogenesis","20/102","253/4489",6.35713924718644e-07,0.000113611159974718,0.000100184690692502,"bsk/beat-Ia/tup/Lim3/drl/Moe/fra/Galphaq/Pka-R2/Dscam1/zfh1/dac/stan/robo1/sick/sli/Sema2b/mew/NetB/robo3",20
"8","0-0-0-0-0","GO:0061564","axon development","20/102","262/4489",1.11431656694695e-06,0.000174251253156329,0.000153658389757947,"bsk/beat-Ia/tup/Lim3/drl/Moe/fra/Galphaq/Pka-R2/Dscam1/zfh1/dac/stan/robo1/sick/sli/Sema2b/mew/NetB/robo3",20
"9","0-0-0-0-0","GO:0048858","cell projection morphogenesis","22/102","322/4489",1.96843040529465e-06,0.000246250643702361,0.000217148954184084,"bsk/beat-Ia/tup/Lim3/drl/Moe/fra/Galphaq/Pka-R2/Dscam1/zfh1/bnl/dac/stan/robo1/sick/sli/Sema2b/msn/mew/NetB/robo3",22
"10","0-0-0-0-0","GO:0120039","plasma membrane bounded cell projection morphogenesis","22/102","322/4489",1.96843040529465e-06,0.000246250643702361,0.000217148954184084,"bsk/beat-Ia/tup/Lim3/drl/Moe/fra/Galphaq/Pka-R2/Dscam1/zfh1/bnl/dac/stan/robo1/sick/sli/Sema2b/msn/mew/NetB/robo3",22
"11","0-0-0-0-0","GO:0032990","cell part morphogenesis","22/102","328/4489",2.68533136473362e-06,0.000283600599484426,0.000250084924279253,"bsk/beat-Ia/tup/Lim3/drl/Moe/fra/Galphaq/Pka-R2/Dscam1/zfh1/bnl/dac/stan/robo1/sick/sli/Sema2b/msn/mew/NetB/robo3",22
"12","0-0-0-0-0","GO:0042330","taxis","19/102","253/4489",2.76923895519588e-06,0.000283600599484426,0.000250084924279253,"bsk/beat-Ia/tup/Lim3/drl/Moe/fra/Galphaq/Pka-R2/Dscam1/zfh1/dac/stan/robo1/sli/Sema2b/mew/NetB/robo3",19
"13","0-0-0-0-0","GO:0120036","plasma membrane bounded cell projection organization","25/102","411/4489",2.947088563787e-06,0.000283600599484426,0.000250084924279253,"bsk/beat-Ia/tup/Lim3/drl/Cad99C/Moe/fra/Galphaq/Pka-R2/Dscam1/zfh1/bnl/dac/stan/l(2)41Ab/robo1/sick/sli/Sema2b/ds/msn/mew/NetB/robo3",25
"14","0-0-0-0-0","GO:0040011","locomotion","26/102","444/4489",3.6265919761596e-06,0.000324061897298262,0.000285764540677839,"Syn1/Pvr/bsk/beat-Ia/tup/Lim3/drl/sr/Moe/fra/Galphaq/Pka-R2/Ggamma1/Dscam1/zfh1/bnl/dac/stan/robo1/sli/Sema2b/msn/mew/NetB/hiw/robo3",26
"15","0-0-0-0-0","GO:0007155","cell adhesion","14/102","149/4489",5.12022992494135e-06,0.000427027175740109,0.000376561470971125,"beat-Ia/glec/Cad99C/fra/sns/Ggamma1/hbs/stan/nrv2/robo1/sli/Sema2b/ds/mew",14
"16","0-0-0-0-0","GO:0048667","cell morphogenesis involved in neuron differentiation","21/102","317/4489",5.78368938718384e-06,0.000452212213960437,0.000398770163011097,"bsk/beat-Ia/tup/Lim3/drl/Moe/fra/Galphaq/Pka-R2/Dscam1/zfh1/dac/stan/robo1/sick/sli/Sema2b/msn/mew/NetB/robo3",21
"17","0-0-0-0-0","GO:0070983","dendrite guidance","6/102","22/4489",6.59768898710719e-06,0.000485512289580652,0.000428134864302683,"tup/drl/fra/robo1/Sema2b/NetB",6
"18","0-0-0-0-0","GO:0048812","neuron projection morphogenesis","21/102","321/4489",7.05370814624184e-06,0.000490232716163808,0.00043229743492757,"bsk/beat-Ia/tup/Lim3/drl/Moe/fra/Galphaq/Pka-R2/Dscam1/zfh1/dac/stan/robo1/sick/sli/Sema2b/msn/mew/NetB/robo3",21
"19","0-0-0-0-0","GO:0000904","cell morphogenesis involved in differentiation","22/102","349/4489",7.49213879373759e-06,0.000493298191103459,0.00043500063467241,"ph-p/bsk/beat-Ia/tup/Lim3/drl/Moe/fra/Galphaq/Pka-R2/Dscam1/zfh1/dac/stan/robo1/sick/sli/Sema2b/msn/mew/NetB/robo3",22
"20","0-0-0-0-0","GO:0007432","salivary gland boundary specification","5/102","14/4489",9.34242891057418e-06,0.000565207120255124,0.00049841142835405,"fra/robo1/sli/mew/NetB",5
"21","0-0-0-0-0","GO:0098609","cell-cell adhesion","11/102","97/4489",9.48788930883902e-06,0.000565207120255124,0.00049841142835405,"beat-Ia/glec/Cad99C/fra/sns/hbs/stan/robo1/sli/ds/mew",11
