"","Name","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","1-1-7-1-1","GO:0002181","cytoplasmic translation","8/10","111/4443",5.09214245869182e-12,4.27739966530113e-10,2.84087947695438e-10,"RpL10/RpS11/RpS29/RpL39/RpS15Aa/RpL37a/RpS19a/RpS21",8
"2","1-1-7-1-1","GO:0006412","translation","9/10","334/4443",6.47592998884627e-10,2.71989059531544e-08,1.80644362846764e-08,"RpL10/eEF1beta/RpS11/RpS29/RpL39/RpS15Aa/RpL37a/RpS19a/RpS21",9
"3","1-1-7-1-1","GO:0043043","peptide biosynthetic process","9/10","361/4443",1.30662915293642e-09,3.65856162822197e-08,2.42987175809229e-08,"RpL10/eEF1beta/RpS11/RpS29/RpL39/RpS15Aa/RpL37a/RpS19a/RpS21",9
"4","1-1-7-1-1","GO:0043604","amide biosynthetic process","9/10","385/4443",2.33448573547311e-09,4.90242004449354e-08,3.25599326263355e-08,"RpL10/eEF1beta/RpS11/RpS29/RpL39/RpS15Aa/RpL37a/RpS19a/RpS21",9
"5","1-1-7-1-1","GO:0006518","peptide metabolic process","9/10","413/4443",4.39245822956934e-09,7.37932982567648e-08,4.90105865615105e-08,"RpL10/eEF1beta/RpS11/RpS29/RpL39/RpS15Aa/RpL37a/RpS19a/RpS21",9
"6","1-1-7-1-1","GO:0034645","cellular macromolecule biosynthetic process","9/10","423/4443",5.44711348320092e-09,7.62595887648129e-08,5.06485990543244e-08,"RpL10/eEF1beta/RpS11/RpS29/RpL39/RpS15Aa/RpL37a/RpS19a/RpS21",9
"7","1-1-7-1-1","GO:0043603","cellular amide metabolic process","9/10","459/4443",1.1346856671413e-08,1.36162280056956e-07,9.04335945240432e-08,"RpL10/eEF1beta/RpS11/RpS29/RpL39/RpS15Aa/RpL37a/RpS19a/RpS21",9
"8","2-2-5-0-0","GO:0006366","transcription by RNA polymerase II","16/33","440/4443",1.56581227013657e-08,1.21903486771374e-05,9.76407843226248e-06,"Rbf/cad/mor/pygo/chn/Nelf-A/ovo/nej/nsl1/cic/BtbVII/Mitf/ebi/da/RpII215/brm",16
"9","2-2-5-0-0","GO:0006357","regulation of transcription by RNA polymerase II","15/33","394/4443",2.97320677344688e-08,1.21903486771374e-05,9.76407843226248e-06,"Rbf/cad/mor/pygo/chn/Nelf-A/ovo/nej/nsl1/cic/BtbVII/Mitf/ebi/da/brm",15
"10","2-2-5-0-0","GO:0007444","imaginal disc development","14/33","342/4443",4.20356850935772e-08,1.21903486771374e-05,9.76407843226248e-06,"G9a/CG11399/Sfmbt/qua/cad/mor/pygo/ovo/Alh/pico/cic/ebi/brm/dlp",14
"11","2-2-5-0-0","GO:0035295","tube development","15/33","414/4443",5.82945721957891e-08,1.26790694525841e-05,1.01555281035822e-05,"G9a/CG11399/Sfmbt/qua/cad/mor/pygo/ovo/Alh/pico/cic/ebi/da/brm/dlp",15
"12","2-2-5-0-0","GO:0051254","positive regulation of RNA metabolic process","12/33","269/4443",2.14869770940138e-07,3.7387340143584e-05,2.99460607078676e-05,"cad/mor/twin/pygo/chn/ovo/nej/nsl1/Mitf/da/brm/Jarid2",12
"13","2-2-5-0-0","GO:0045935","positive regulation of nucleobase-containing compound metabolic process","12/33","284/4443",3.89734562057692e-07,4.19247291082082e-05,3.35803637866108e-05,"cad/mor/twin/pygo/chn/ovo/nej/nsl1/Mitf/da/brm/Jarid2",12
"14","2-2-5-0-0","GO:0045893","positive regulation of transcription, DNA-templated","11/33","232/4443",4.33704094222843e-07,4.19247291082082e-05,3.35803637866108e-05,"cad/mor/pygo/chn/ovo/nej/nsl1/Mitf/da/brm/Jarid2",11
