"","Nested_Level","Block","File","N_genes","Internal_degree","Assortativity","Name","Parent","p.adjust","n_enrich","n_enrich_simple"
"1",1,0,"/0-0-0-0-0.csv",117,1026,0.074285155580257,"0-0-0-0-0","0",6.7592405771829e-05,71,27
"2",1,1,"/1-1-1-2-1.csv",310,422,0.0344391472268918,"1-1-1-2-1","1",0.00857865881201916,11,7
"3",1,2,"/2-2-2-2-1.csv",12,132,0.00252235120131823,"2-2-2-2-1","2",1.70916996157449e-12,13,4
"4",1,3,"/3-3-1-2-1.csv",256,500,0.0407507333167751,"3-3-1-2-1","3",0.130113036994174,0,0
"5",1,4,"/4-4-0-0-0.csv",169,438,0.0363352356130937,"4-4-0-0-0","4",0.3121993684469,0,0
"6",1,5,"/5-5-4-1-1.csv",31,928,0.0154321942073953,"5-5-4-1-1","5",3.2313602397014e-06,25,13
"7",1,6,"/6-6-0-0-0.csv",19,342,0.00831267768171527,"6-6-0-0-0","6",0.00261496856180227,49,23
"8",1,7,"/7-1-1-2-1.csv",164,1982,0.151887943759174,"7-1-1-2-1","1",3.77409278752798e-10,84,25
"9",1,8,"/8-7-2-2-1.csv",99,370,0.0199861308714944,"8-7-2-2-1","7",0.221246404043851,0,0
"10",1,9,"/9-2-2-2-1.csv",126,578,0.0257855503848141,"9-2-2-2-1","2",5.82675939028392e-05,18,10
"11",1,10,"/10-4-0-0-0.csv",116,156,0.00664041201896662,"10-4-0-0-0","4",0.33586729996456,0,0
"12",1,11,"/11-3-1-2-1.csv",313,922,0.07411407937076,"11-3-1-2-1","3",0.0129990275256858,19,17
"13",1,12,"/12-7-2-2-1.csv",30,128,0.00763438317259267,"12-7-2-2-1","7",1.59171424145527e-10,10,5
"14",1,13,"/13-8-4-1-1.csv",21,420,-0.000685491681016784,"13-8-4-1-1","8",3.29880954380794e-25,6,1
"15",1,14,"/14-9-3-0-0.csv",36,310,0.0260107216192006,"14-9-3-0-0","9",1.12939418112823e-15,44,12
"16",1,15,"/15-2-2-2-1.csv",49,774,0.0510144201549553,"15-2-2-2-1","2",0.521842618014681,0,0
"17",1,16,"/16-10-1-2-1.csv",82,70,0.005771533471543,"16-10-1-2-1","10",0.189607815243334,0,0
"18",1,17,"/17-11-0-0-0.csv",121,528,0.0291847148415108,"17-11-0-0-0","11",0.00170307688072117,1,1
"19",1,18,"/18-20-1-2-1.csv",111,152,0.0130852655647485,"18-20-1-2-1","20",0.745853511981442,0,0
"20",1,19,"/19-12-1-2-1.csv",212,936,0.0620164500165673,"19-12-1-2-1","12",1.13982055507376e-06,25,9
"21",1,20,"/20-13-5-0-0.csv",42,262,0.00811013877390008,"20-13-5-0-0","13",0.403898962919775,0,0
"22",1,21,"/21-14-2-2-1.csv",108,162,0.00938412168825226,"21-14-2-2-1","14",0.62517131065131,0,0
"23",1,22,"/22-7-2-2-1.csv",14,154,0.00901449251082621,"22-7-2-2-1","7",6.77331898584585e-09,16,5
"24",1,23,"/23-14-2-2-1.csv",102,244,0.0151542056555908,"23-14-2-2-1","14",0.0608355255810102,0,0
"25",1,24,"/24-4-0-0-0.csv",64,470,0.037749839119531,"24-4-0-0-0","4",0.000999354369911644,162,60
"26",1,25,"/25-13-5-0-0.csv",13,156,-0.00162842573259888,"25-13-5-0-0","13",7.59584775943334e-11,20,10
"27",1,26,"/26-20-1-2-1.csv",98,188,0.0159498037017484,"26-20-1-2-1","20",0.0950572334532278,0,0
"28",1,27,"/27-9-3-0-0.csv",30,404,0.0347858407045803,"27-9-3-0-0","9",1.88614603461062e-27,14,4
"29",1,28,"/28-15-5-0-0.csv",106,1300,0.0824050196029908,"28-15-5-0-0","15",0.248719253010847,0,0
