"","Nested_Level","Block","File","N_genes","Internal_degree","Assortativity","Name","Parent","p.adjust","n_enrich","n_enrich_simple"
"1",1,0,"/0-0-6-0-0.csv",281,536,0.00251622746738189,"0-0-6-0-0","0",0.058152510132726,0,0
"2",1,1,"/1-1-7-1-1.csv",13,156,-0.00392530080469578,"1-1-7-1-1","1",3.96535473477728e-10,6,1
"3",1,2,"/2-2-5-0-0.csv",36,1102,0.0106717722001479,"2-2-5-0-0","2",1.04344682308192e-05,80,29
"4",1,3,"/3-3-2-0-0.csv",323,344,0.00708863516207236,"3-3-2-0-0","3",1.65944160342192e-06,179,72
"5",1,4,"/4-4-1-4-1.csv",119,1032,0.0214104861653865,"4-4-1-4-1","4",0.0149370445513819,9,7
"6",1,5,"/5-5-4-1-1.csv",264,184,0.00825817765056061,"5-5-4-1-1","5",7.49118671587514e-06,14,6
"7",1,6,"/6-20-2-0-0.csv",107,636,0.0302914887348272,"6-20-2-0-0","20",2.80804604550564e-06,202,83
"8",1,7,"/7-6-3-1-1.csv",131,188,-0.00168289053467263,"7-6-3-1-1","6",0.00115837295326623,9,7
"9",1,8,"/8-7-2-0-0.csv",775,548,0.0244961550712629,"8-7-2-0-0","7",0.000608356148462509,5,1
"10",1,9,"/9-8-4-1-1.csv",273,156,0.00782627383982379,"9-8-4-1-1","8",0.562210016487202,0,0
"11",1,10,"/10-5-4-1-1.csv",64,328,0.0143153765309734,"10-5-4-1-1","5",0.00345418336711482,2,2
"12",1,11,"/11-9-3-1-1.csv",31,354,0.0136779215579794,"11-9-3-1-1","9",0.00998066969118637,1,1
"13",1,12,"/12-8-4-1-1.csv",237,356,0.0177520748094292,"12-8-4-1-1","8",0.115241239148098,0,0
"14",1,13,"/13-0-6-0-0.csv",141,382,-0.000584083674799387,"13-0-6-0-0","0",0.314739373166042,0,0
"15",1,14,"/14-10-4-1-1.csv",28,430,0.0172143340658915,"14-10-4-1-1","10",4.10364695696372e-05,32,14
"16",1,15,"/15-2-5-0-0.csv",55,1728,0.0167264067622811,"15-2-5-0-0","2",0.496007604863379,0,0
"17",1,16,"/16-1-7-1-1.csv",14,182,0.000718388017367549,"16-1-7-1-1","1",3.85490639041124e-22,15,5
"18",1,17,"/17-1-7-1-1.csv",21,382,0.0118463703637489,"17-1-7-1-1","1",0.168962531006289,0,0
"19",1,18,"/18-10-4-1-1.csv",31,108,0.00143102972816749,"18-10-4-1-1","10",0.220858687875895,0,0
"20",1,19,"/19-11-0-0-0.csv",20,376,-0.00518656913320736,"19-11-0-0-0","11",0.000928515912584691,17,8
"21",1,20,"/20-6-3-1-1.csv",40,776,0.0294380529978421,"20-6-3-1-1","6",0.000268088087344339,9,9
"22",1,21,"/21-12-1-4-1.csv",15,210,0.00215426322846581,"21-12-1-4-1","12",8.15396870090115e-05,1,1
"23",1,22,"/22-13-4-1-1.csv",28,418,0.0191035383350528,"22-13-4-1-1","13",3.694524711411e-05,9,5
"24",1,23,"/23-2-5-0-0.csv",52,1106,0.0116951465712055,"23-2-5-0-0","2",0.0127984141898509,3,1
"25",1,24,"/24-9-3-1-1.csv",68,214,0.00807380463470147,"24-9-3-1-1","9",0.100608779530548,0,0
"26",1,25,"/25-7-2-0-0.csv",85,594,0.0168767082641916,"25-7-2-0-0","7",0.00246792774224322,16,13
"27",1,26,"/26-0-6-0-0.csv",59,510,2.47148339930118e-05,"26-0-6-0-0","0",0.0547190632891495,0,0
"28",1,27,"/27-0-6-0-0.csv",91,518,-0.00611075864039463,"27-0-6-0-0","0",0.00350584892500598,27,22
"29",1,28,"/28-14-9-1-1.csv",9,72,-0.00988453508167791,"28-14-9-1-1","14",1.56264245541921e-08,8,3
"30",1,29,"/29-5-4-1-1.csv",162,88,0.0027006642257323,"29-5-4-1-1","5",9.54547828636846e-11,7,2
"31",1,30,"/30-15-6-0-0.csv",48,1106,0.0324200064171673,"30-15-6-0-0","15",0.0521276486908761,0,0
"32",1,31,"/31-11-0-0-0.csv",82,1078,0.00816343299775898,"31-11-0-0-0","11",0.29209493632743,0,0
"33",1,32,"/32-5-4-1-1.csv",36,700,0.0322572151074765,"32-5-4-1-1","5",1.64742119939662e-07,14,4
"34",1,33,"/33-16-3-1-1.csv",277,586,0.0173560556177592,"33-16-3-1-1","16",0.690540219046377,0,0
"35",1,34,"/34-17-2-0-0.csv",9,72,-0.00503478917425783,"34-17-2-0-0","17",0.0555586224168679,0,0
"36",1,35,"/35-18-1-4-1.csv",54,1138,0.0322648167946576,"35-18-1-4-1","18",0.16688545669191,0,0
"37",1,36,"/36-14-9-1-1.csv",16,240,-0.00317623355262396,"36-14-9-1-1","14",5.82757905339868e-11,11,2
"38",1,37,"/37-15-6-0-0.csv",16,240,0.00181007655964356,"37-15-6-0-0","15",0.0744713745474842,0,0
"39",1,38,"/38-17-2-0-0.csv",12,132,-0.00508668478110001,"38-17-2-0-0","17",8.96811846986879e-05,14,11
"40",1,39,"/39-11-0-0-0.csv",32,908,0.00538374108817448,"39-11-0-0-0","11",4.83186180695781e-05,32,20
"41",1,40,"/40-20-2-0-0.csv",24,420,0.0180022974075691,"40-20-2-0-0","20",3.70144156509816e-07,36,16
"42",1,41,"/41-11-0-0-0.csv",48,1458,0.0276207748866044,"41-11-0-0-0","11",4.2819067274823e-05,32,13
"43",1,42,"/42-13-4-1-1.csv",37,376,0.0157836854427532,"42-13-4-1-1","13",0.00753077404441617,19,14
"44",1,43,"/43-4-1-4-1.csv",32,992,0.0310513759784671,"43-4-1-4-1","4",0.156091055822714,0,0
"45",1,44,"/44-16-3-1-1.csv",45,1228,0.0521582406235779,"44-16-3-1-1","16",0.0421359909603689,3,3
"46",1,45,"/45-15-6-0-0.csv",32,772,0.0141360777269122,"45-15-6-0-0","15",0.00672761156177376,4,4
"47",1,46,"/46-3-2-0-0.csv",44,178,0.00323224697049641,"46-3-2-0-0","3",0.000209755119542343,82,43
"48",1,47,"/47-9-3-1-1.csv",45,370,0.0150642293435589,"47-9-3-1-1","9",1.27962012821515e-07,28,13
"49",1,48,"/48-9-3-1-1.csv",30,770,0.0354688787846687,"48-9-3-1-1","9",0.053794602889004,0,0
"50",1,49,"/49-16-3-1-1.csv",20,320,0.00863062397340643,"49-16-3-1-1","16",0.0463568352868451,1,1
"51",1,50,"/50-1-7-1-1.csv",14,182,-0.00409202719255186,"50-1-7-1-1","1",3.71607739354721e-17,8,2
"52",1,51,"/51-18-1-4-1.csv",33,922,0.0159045755797184,"51-18-1-4-1","18",8.06021346021511e-05,23,9
"53",1,52,"/52-6-3-1-1.csv",20,376,0.0126260733897354,"52-6-3-1-1","6",7.44696382922409e-13,1,1
"54",1,53,"/53-19-1-4-1.csv",29,744,0.00518096937510495,"53-19-1-4-1","19",0.00130187085178688,8,4
"55",1,54,"/54-2-5-0-0.csv",33,1056,-0.00880165699625319,"54-2-5-0-0","2",0.00138491282530614,72,38
"56",1,55,"/55-1-7-1-1.csv",10,90,-0.00404684552041555,"55-1-7-1-1","1",1.59723936335963e-13,13,4
"57",1,56,"/56-19-1-4-1.csv",37,670,0.00824904680208612,"56-19-1-4-1","19",0.207597524966972,0,0
"58",1,57,"/57-14-9-1-1.csv",16,236,-0.00248279505751271,"57-14-9-1-1","14",0.0119047870396468,1,1
"59",1,58,"/58-12-1-4-1.csv",12,132,-0.0040008438551259,"58-12-1-4-1","12",0.00304395697102774,0,0
"60",1,59,"/59-8-4-1-1.csv",74,356,0.0177701182805352,"59-8-4-1-1","8",0.00712880497887758,6,4
"61",1,60,"/60-4-1-4-1.csv",44,1286,0.0294671585897933,"60-4-1-4-1","4",0.525153994816957,0,0
"62",1,61,"/61-1-7-1-1.csv",9,72,-0.00585759621616892,"61-1-7-1-1","1",1.16651943337172e-07,6,1
"63",1,62,"/62-19-1-4-1.csv",44,512,0.00505286040100434,"62-19-1-4-1","19",0.0136522364728156,5,5
"64",1,63,"/63-18-1-4-1.csv",23,506,0.002569823708087,"63-18-1-4-1","18",0.000885995519662874,9,6
"65",1,64,"/64-19-1-4-1.csv",25,590,0.00245531397719309,"64-19-1-4-1","19",9.44863380937184e-06,11,2
"66",1,65,"/65-12-1-4-1.csv",24,518,0.0129075524608837,"65-12-1-4-1","12",9.19607158648992e-08,12,7
"67",1,66,"/66-12-1-4-1.csv",13,156,-0.00724463391253805,"66-12-1-4-1","12",0.0331601108723723,0,0
"68",1,67,"/67-18-1-4-1.csv",23,504,-0.00582062138978252,"67-18-1-4-1","18",0.421258378959417,0,0
"69",1,68,"/68-14-9-1-1.csv",10,90,-0.00854457101755633,"68-14-9-1-1","14",1.01663631797734e-12,11,2
"70",1,69,"/69-14-9-1-1.csv",11,110,-0.00686061803120471,"69-14-9-1-1","14",0.00566877544248216,1,1
"71",1,70,"/70-14-9-1-1.csv",11,110,-0.00642177560665026,"70-14-9-1-1","14",0.000101636166815185,6,3
"72",1,71,"/71-12-1-4-1.csv",16,240,-0.000802855642146244,"71-12-1-4-1","12",0.00585579382166502,0,0
"73",1,72,"/72-10-4-1-1.csv",12,110,0.00224432211673806,"72-10-4-1-1","10",0.0100333789259762,1,1
"74",1,73,"/73-8-4-1-1.csv",24,302,0.0144188918344942,"73-8-4-1-1","8",0.00800394386399193,26,14
"75",1,74,"/74-1-7-1-1.csv",12,132,-0.00356749168065428,"74-1-7-1-1","1",5.24309815668397e-05,1,1
"76",1,75,"/75-1-7-1-1.csv",11,110,-0.00776857993809082,"75-1-7-1-1","1",6.64372753985027e-17,6,1
"77",1,76,"/76-12-1-4-1.csv",18,296,0.00266105985695716,"76-12-1-4-1","12",0.0917690101036163,0,0
"78",1,77,"/77-17-2-0-0.csv",4,12,-0.00197938323432695,"77-17-2-0-0","17",1.7064566463208e-05,2,1
"79",2,0,"/0-6-0-0.csv",572,5898,-0.0293896503240145,"0-6-0-0","6",0.000108534127840147,143,62
"80",2,1,"/1-7-1-1.csv",104,10668,-0.0311439477551517,"1-7-1-1","7",8.87565672008809e-86,42,12
"81",2,2,"/2-5-0-0.csv",176,21038,0.0496809599690512,"2-5-0-0","5",9.25170822843891e-08,193,61
"82",2,3,"/3-2-0-0.csv",367,990,0.00499743687977087,"3-2-0-0","2",1.17917215732163e-08,297,100
"83",2,4,"/4-1-4-1.csv",195,8866,0.0527558917589822,"4-1-4-1","1",0.0170723505748309,9,7
"84",2,5,"/5-4-1-1.csv",526,3374,0.0373751835524379,"5-4-1-1","4",1.36219210380976e-24,14,7
"85",2,6,"/6-3-1-1.csv",191,2178,0.00777266996055568,"6-3-1-1","3",1.28198008080128e-06,13,9
"86",2,7,"/7-2-0-0.csv",860,1894,0.0178553452192524,"7-2-0-0","2",0.000918470800330302,9,4
"87",2,8,"/8-4-1-1.csv",608,2652,0.0347830618658748,"8-4-1-1","4",0.699886185855768,0,0
"88",2,9,"/9-3-1-1.csv",174,3662,0.0346827607220103,"9-3-1-1","3",0.0197307760398522,8,6
"89",2,10,"/10-4-1-1.csv",71,1696,0.0135291556541687,"10-4-1-1","4",0.00183949630446263,22,15
